"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"04/30/2026 12:00:00 AM","subway","143","Inwood-207 St (A)","Manhattan","omny","OMNY - Students","1","0","40.868073","-73.9199","POINT (-73.9199 40.868073)"
"04/30/2026 12:00:00 AM","subway","247","Bay Pkwy (F)","Brooklyn","omny","OMNY - Full Fare","2","2","40.62077","-73.975266","POINT (-73.975266 40.62077)"
"04/30/2026 12:00:00 AM","subway","255","169 St (F)","Queens","omny","OMNY - Other","1","0","40.71047","-73.7936","POINT (-73.7936 40.71047)"
"04/30/2026 12:00:00 AM","subway","270","46 St (M,R)","Queens","omny","OMNY - Full Fare","9","0","40.756313","-73.91333","POINT (-73.91333 40.756313)"
"04/30/2026 12:00:00 AM","subway","318","34 St-Penn Station (1,2,3)","Manhattan","omny","OMNY - Seniors & Disability","23","0","40.750374","-73.99106","POINT (-73.99106 40.750374)"
"04/30/2026 12:00:00 AM","subway","438","135 St (2,3)","Manhattan","omny","OMNY - Full Fare","53","0","40.814228","-73.94077","POINT (-73.94077 40.814228)"
"04/30/2026 12:00:00 AM","subway","601","14 St/6 Av (1,2,3,L,F,M)","Manhattan","omny","OMNY - Seniors & Disability","8","0","40.737797","-73.997734","POINT (-73.997734 40.737797)"
"04/30/2026 12:00:00 AM","subway","160","72 St (C,B)","Manhattan","omny","OMNY - Students","2","0","40.775593","-73.97641","POINT (-73.97641 40.775593)"
"04/30/2026 12:00:00 AM","subway","168","Spring St (C,E)","Manhattan","omny","OMNY - Full Fare","69","0","40.726227","-74.00374","POINT (-74.00374 40.726227)"
"04/30/2026 12:00:00 AM","subway","380","Bedford Park Blvd-Lehman College (4)","Bronx","omny","OMNY - Fair Fare","2","0","40.873413","-73.89006","POINT (-73.89006 40.873413)"
"04/30/2026 12:00:00 AM","subway","464","Vernon Blvd-Jackson Av (7)","Queens","omny","OMNY - Seniors & Disability","1","0","40.742626","-73.95358","POINT (-73.95358 40.742626)"
"04/30/2026 12:00:00 AM","subway","464","Vernon Blvd-Jackson Av (7)","Queens","omny","OMNY - Students","2","0","40.742626","-73.95358","POINT (-73.95358 40.742626)"
"04/30/2026 12:00:00 AM","subway","51","Kings Hwy (B,Q)","Brooklyn","omny","OMNY - Seniors & Disability","1","0","40.60867","-73.95773","POINT (-73.95773 40.60867)"
"04/30/2026 12:00:00 AM","subway","53","Neck Rd (Q)","Brooklyn","omny","OMNY - Full Fare","4","0","40.595245","-73.95516","POINT (-73.95516 40.595245)"
