Agency Code,Category Code,Element Code,Project Code,ACEP,Agency Name,Category Description,Element Description,Project Title,Needs Code,Total Budget,Parent ACEP
D,905,HH,9N,D905HH9N,Bridges and Tunnels,BUILDINGS & SITES,HENRY HUDSON BRIDGE,BACKUP OCC,NR,6.47,
D,905,QM,9B,D905QM9B,Bridges and Tunnels,BUILDINGS & SITES,QUEENS MIDTOWN TUNNEL,REHAB QMT VENTILATION BUILDINGS,NR,22.75,
D,905,RK,9B,D905RK9B,Bridges and Tunnels,BUILDINGS & SITES,ROBERT F. KENNEDY BRIDGE,RMB UPGRADES,NR,24.97,
D,905,RK,9C,D905RK9C,Bridges and Tunnels,BUILDINGS & SITES,ROBERT F. KENNEDY BRIDGE,CENTRAL MAINT. EXPANSION FOR TOLL COLLECT,SI,23.51,
D,905,RK,9G,D905RK9G,Bridges and Tunnels,BUILDINGS & SITES,ROBERT F. KENNEDY BRIDGE,RFK SERVICE/FLEET BUILDING UPGRADES,NR,23.62,
D,905,RK,9W,D905RK9W,Bridges and Tunnels,BUILDINGS & SITES,ROBERT F. KENNEDY BRIDGE,ISD HUB RELOCATION,NR,11.18,
D,905,TN,9B,D905TN9B,Bridges and Tunnels,BUILDINGS & SITES,THROGS NECK BRIDGE,SERVICE BUILDING REHABILITATION,NR,19,
D,905,TN,9U,D905TN9U,Bridges and Tunnels,BUILDINGS & SITES,THROGS NECK BRIDGE,TN SITE IMPROVEMENTS,SI,7.59,
D,905,VN,9B,D905VN9B,Bridges and Tunnels,BUILDINGS & SITES,VERRAZZANO-NARROWS BRIDGE,BUILDING UPGRADES/SPACE REALLOCATION,NR,19.87,
D,906,AW,9A,D906AW9A,Bridges and Tunnels,MISCELLANEOUS,AGENCY-WIDE,EAM -RESERVE,SI,15,
D,906,AW,9D,D906AW9D,Bridges and Tunnels,MISCELLANEOUS,AGENCY-WIDE,MTA INDEPENDENT ENGINEER,,4.22,
D,906,AW,9E,D906AW9E,Bridges and Tunnels,MISCELLANEOUS,AGENCY-WIDE,PROTECTIVE LIABILITY INSURANCE,,12.75,
D,906,AW,9F,D906AW9F,Bridges and Tunnels,MISCELLANEOUS,AGENCY-WIDE,PROGRAM ADMINISTRATION,,13.14,
D,906,AW,9G,D906AW9G,Bridges and Tunnels,MISCELLANEOUS,AGENCY-WIDE,MISCELLANEOUS,,17.86,
D,906,AW,9H,D906AW9H,Bridges and Tunnels,MISCELLANEOUS,AGENCY-WIDE,SCOPE DEVELOPMENT,,14.41,
D,906,AW,9I,D906AW9I,Bridges and Tunnels,MISCELLANEOUS,AGENCY-WIDE,PRELIMINARY DESIGN,,16.38,
D,906,AW,9T,D906AW9T,Bridges and Tunnels,MISCELLANEOUS,AGENCY-WIDE,TEA - RESERVE,,4.38,
D,906,AW,9U,D906AW9U,Bridges and Tunnels,MISCELLANEOUS,AGENCY-WIDE,SBMP - RESERVE,,20,
D,907,AW,9P,D907AW9P,Bridges and Tunnels,STRUCTURAL PAINTING,AGENCY-WIDE,PAINTING RESERVE,NR,22.2,
D,907,BW,9O,D907BW9O,Bridges and Tunnels,STRUCTURAL PAINTING,BRONX-WHITESTONE BRIDGE,ANCHORAGE WATERPROOFING,NR,11.52,
D,907,BW,9P,D907BW9P,Bridges and Tunnels,STRUCTURAL PAINTING,BRONX-WHITESTONE BRIDGE,BW FACILITY-WIDE PAINTING PROGRAM,NR,16.26,
D,907,CB,9P,D907CB9P,Bridges and Tunnels,STRUCTURAL PAINTING,CROSS BAY BRIDGE,CB FACILITY-WIDE PAINTING PROGRAM,NR,12.66,
D,907,MP,9P,D907MP9P,Bridges and Tunnels,STRUCTURAL PAINTING,MARINE PARKWAY BRIDGE,MP FACILITY-WIDE PAINTING PROGRAM,NR,7.86,
D,907,RK,9P,D907RK9P,Bridges and Tunnels,STRUCTURAL PAINTING,ROBERT F. KENNEDY BRIDGE,RK FACILITY-WIDE PAINTING PROGRAM,NR,88.96,
D,907,TN,9O,D907TN9O,Bridges and Tunnels,STRUCTURAL PAINTING,THROGS NECK BRIDGE,ANCHORAGE WATERPROOFING,NR,15.54,
D,907,TN,9P,D907TN9P,Bridges and Tunnels,STRUCTURAL PAINTING,THROGS NECK BRIDGE,TN FACILITY-WIDE PAINTING PROGRAM,NR,29.22,
D,907,VN,9P,D907VN9P,Bridges and Tunnels,STRUCTURAL PAINTING,VERRAZZANO-NARROWS BRIDGE,VN FACILITY-WIDE PAINTING PROGRAM,NR,23.26,
