"Month","Agency","Ridership"
"2025-03-01","MTA Bus","8,038,699"
"2025-03-01","NYCT Bus","31,346,409"
"2025-03-01","SIR","206,994"
"2025-03-01","Subway","108,318,053"
"2025-04-01","AAR","1,296,835"
"2025-04-01","BT","28,016,791.23"
"2025-04-01","LIRR","6,793,391.6"
"2025-04-01","MNR","5,934,597.6"
"2025-04-01","MTA Bus","7,919,654"
"2025-04-01","NYCT Bus","31,061,966"
"2025-04-01","SIR","206,174"
"2025-04-01","Subway","110,007,806"
"2025-05-01","AAR","1,328,435"
"2025-05-01","BT","29,948,241"
"2025-05-01","LIRR","7,023,813.4"
"2025-05-01","MNR","6,089,872.6899999995"
"2025-05-01","MTA Bus","8,025,181"
"2025-05-01","NYCT Bus","31,573,970"
"2025-05-01","SIR","217,508"
"2025-05-01","Subway","113,306,603"
"2025-06-01","AAR","1,296,353"
"2025-06-01","BT","29,363,295"
"2025-06-01","LIRR","6,866,044.55"
"2025-06-01","MNR","6,009,895.84"
"2025-06-01","MTA Bus","7,590,582"
"2025-06-01","NYCT Bus","29,865,546"
"2025-06-01","SIR","197,673"
"2025-06-01","Subway","106,384,359"
"2025-07-01","AAR","1,380,929"
"2025-07-01","BT","29,877,442"
"2025-07-01","LIRR","7,282,988"
"2025-07-01","MNR","6,189,241.279999999"
"2025-07-01","MTA Bus","7,912,220"
"2025-07-01","NYCT Bus","30,568,781"
"2025-07-01","SIR","195,889"
"2025-07-01","Subway","106,034,616"
"2025-08-01","AAR","1,380,120"
"2025-08-01","BT","30,238,543"
"2025-08-01","LIRR","7,162,617"
"2025-08-01","MNR","5,726,474.499999999"
"2025-08-01","MTA Bus","7,553,000"
"2025-08-01","NYCT Bus","29,362,893"
"2025-08-01","SIR","182,375"
"2025-08-01","Subway","102,062,369"
"2025-09-01","AAR","1,349,831"
"2025-09-01","BT","0"
"2025-09-01","LIRR","7,358,859.800000001"
"2025-09-01","MNR","6,174,001.88"
"2025-09-01","MTA Bus","7,735,427"
"2025-09-01","NYCT Bus","30,625,465"
"2025-09-01","SIR","204,252"
"2025-09-01","Subway","110,413,764"
"2025-10-01","AAR","1,427,051"
"2025-10-01","BT","0"
"2025-10-01","LIRR","7,442,011"
"2025-10-01","MNR","6,653,837.279999999"
"2025-10-01","MTA Bus","7,726,424"
"2025-10-01","NYCT Bus","30,403,679"
"2025-10-01","SIR","204,480"
"2025-10-01","Subway","115,832,938"
"2025-11-01","AAR","1,331,995"
"2025-11-01","BT","0"
"2025-11-01","LIRR","6,567,587.4"
"2025-11-01","MNR","5,726,862.24"
"2025-11-01","MTA Bus","6,742,378"
"2025-11-01","NYCT Bus","26,505,451"
"2025-11-01","SIR","180,930"
"2025-11-01","Subway","106,140,742"
"2025-12-01","AAR","1,346,153"
"2025-12-01","BT","0"
"2025-12-01","LIRR","7,221,092.6"
"2025-12-01","MNR","6,103,890.17"
"2025-12-01","MTA Bus","6,753,801"
"2025-12-01","NYCT Bus","25,900,697"
"2025-12-01","SIR","188,484"
"2025-12-01","Subway","110,571,202"
"2026-01-01","AAR","1,224,812"
"2026-01-01","LIRR","6,148,471.8"
"2026-01-01","MNR","5,218,504.3"
"2026-01-01","MTA Bus","6,440,734"
"2026-01-01","NYCT Bus","24,902,903"
"2026-01-01","SIR","183,489"
"2026-01-01","Subway","99,637,405"
"2026-02-01","AAR","1,123,339"
"2026-02-01","LIRR","5,542,034.8"
"2026-02-01","MNR","4,715,207.399999999"
"2026-02-01","MTA Bus","5,959,194.35"
"2026-02-01","NYCT Bus","22,455,222"
"2026-02-01","SIR","166,493"
"2026-02-01","Subway","94,757,990"
"2026-03-01","AAR","1,447,546"
"2026-03-01","LIRR","7,233,843.4"
"2026-03-01","MNR","6,098,900.600000001"
"2026-03-01","MTA Bus","7,534,232"
"2026-03-01","NYCT Bus","28,587,152"
"2026-03-01","SIR","220,834"
"2026-03-01","Subway","114,048,227"
